target,model,mae,r2
temp_1d,RandomForest,0.8284102665535402,0.9899716016998953
temp_1d,GradientBoosting,0.8093800055996325,0.9904110533601366
temp_1d,MLP,0.8496930261276453,0.9894244613224218
temp_1d,Ensemble,0.8139894131318637,0.9902985520499525
temp_3d,RandomForest,1.6337828837451969,0.9615767382436512
temp_3d,GradientBoosting,1.600825980156261,0.9629533597465411
temp_3d,MLP,1.6924004903174918,0.9587798722723047
temp_3d,Ensemble,1.6130630862118314,0.9624906040407554
pressure_1d,RandomForest,1.6516589347173936,0.8603546594267352
pressure_1d,GradientBoosting,1.630568167816518,0.8641444742441694
pressure_1d,MLP,1.8602136691245068,0.8208154945888428
pressure_1d,Ensemble,1.6566862838789242,0.8595542843953256
pressure_3d,RandomForest,2.4385723698677717,0.737059630488582
pressure_3d,GradientBoosting,2.3972615166345834,0.7449682621849638
pressure_3d,MLP,2.8835759089417823,0.629888447743407
pressure_3d,Ensemble,2.45656816378689,0.732875749103157
precip_1d,RandomForest,1.0769734537309044,0.7887844896800941
precip_1d,GradientBoosting,1.0418581790500836,0.7986690324278432
precip_1d,MLP,1.1621439005602376,0.7419979321850944
precip_1d,Ensemble,1.0648455653254951,0.7914277059217387
precip_3d,RandomForest,1.5937305757908178,0.6174368009874405
precip_3d,GradientBoosting,1.5428139424793064,0.6330961769705938
precip_3d,MLP,1.7654553305423595,0.4978096805374088
precip_3d,Ensemble,1.581548892030359,0.6197725737774019
